sep=,
8274182.4172582998872,-43.752471923828125,
8324177.4167583500966,-45.12493133544921875,
8374172.4162584003061,-44.18111419677734375,
8424167.4157584495842,-45.24477386474609375,
8474162.4152584988624,-44.80879974365234375,
8524157.4147585481405,-47.09741973876953125,
8574152.4142585974187,-45.3248443603515625,
8624147.4137586466968,-45.06591796875,
8674142.4132586959749,-45.75534820556640625,
8724137.4127587452531,-46.6577911376953125,
8774132.4122587945312,-49.5970001220703125,
8824127.4117588438094,-46.5747528076171875,
8874122.4112588930875,-46.97010040283203125,
8924117.4107589423656,-48.51471710205078125,
8974112.4102589916438,-49.4442596435546875,
9024107.4097590409219,-49.451141357421875,
9074102.4092590902001,-50.2799530029296875,
9124097.4087591394782,-47.8648529052734375,
9174092.4082591887563,-50.0774688720703125,
9224087.4077592380345,-49.7600555419921875,
9274082.4072592873126,-50.775604248046875,
9324077.4067593365908,-49.82503509521484375,
9374072.4062593858689,-48.87604522705078125,
9424067.405759435147,-51.5316925048828125,
9474062.4052594844252,-50.71894073486328125,
9524057.4047595337033,-51.0091094970703125,
9574052.4042595829815,-51.3276824951171875,
9624047.4037596322596,-49.13970947265625,
9674042.4032596815377,-50.47998809814453125,
9724037.4027597308159,-53.18045806884765625,
9774032.402259780094,-52.4506683349609375,
9824027.4017598293722,-52.916534423828125,
9874022.4012598786503,-48.6558685302734375,
9924017.4007599279284,-52.5547943115234375,
9974012.4002599772066,-51.916656494140625,
10024007.399760026485,-49.98787689208984375,
10074002.399260075763,-50.466644287109375,
10123997.398760125041,-48.02129364013671875,
10173992.398260174319,-50.0017547607421875,
10223987.397760223597,-51.9454498291015625,
10273982.397260272875,-51.80265045166015625,
10323977.396760322154,-46.56737518310546875,
10373972.396260371432,-49.722137451171875,
10423967.39576042071,-50.93280029296875,
10473962.395260469988,-50.01381683349609375,
10523957.394760519266,-44.4422454833984375,
10573952.394260568544,-48.96729278564453125,
10623947.393760617822,-45.975921630859375,
10673942.393260667101,-46.41571044921875,
10723937.392760716379,-45.66373443603515625,
10773932.392260765657,-45.31156158447265625,
10823927.391760814935,-45.07317352294921875,
10873922.391260864213,-45.82968902587890625,
10923917.390760913491,-44.82007598876953125,
10973912.390260962769,-45.4275360107421875,
11023907.389761012048,-42.49892425537109375,
11073902.389261061326,-42.6144561767578125,
11123897.388761110604,-43.52298736572265625,
11173892.388261159882,-44.07866668701171875,
11223887.38776120916,-42.854400634765625,
11273882.387261258438,-42.9948883056640625,
11323877.386761307716,-42.27985382080078125,
11373872.386261356995,-43.62931060791015625,
11423867.385761406273,-43.03473663330078125,
11473862.385261455551,-41.9756622314453125,
11523857.384761504829,-41.7124176025390625,
11573852.384261554107,-43.01071929931640625,
11623847.383761603385,-43.52046966552734375,
11673842.383261652663,-44.2423858642578125,
11723837.382761701941,-43.4161834716796875,
11773832.38226175122,-43.090789794921875,
11823827.381761800498,-44.3201141357421875,
11873822.381261849776,-44.56946563720703125,
11923817.380761899054,-45.2576446533203125,
11973812.380261948332,-43.37503814697265625,
12023807.37976199761,-43.70372772216796875,
12073802.379262046888,-44.28497314453125,
12123797.378762096167,-45.1631011962890625,
12173792.378262145445,-45.63127899169921875,
12223787.377762194723,-46.42525482177734375,
12273782.377262244001,-46.259613037109375,
12323777.376762293279,-46.96529388427734375,
12373772.376262342557,-45.26610565185546875,
12423767.375762391835,-45.22573089599609375,
12473762.375262441114,-47.21204376220703125,
12523757.374762490392,-44.9880218505859375,
12573752.37426253967,-44.271636962890625,
12623747.373762588948,-46.29149627685546875,
12673742.373262638226,-44.90876007080078125,
12723737.372762687504,-45.48357391357421875,
12773732.372262736782,-45.32981109619140625,
12823727.371762786061,-46.0228271484375,
12873722.371262835339,-45.6753692626953125,
12923717.370762884617,-46.663787841796875,
12973712.370262933895,-45.37578582763671875,
13023707.369762983173,-46.8268280029296875,
13073702.369263032451,-46.768341064453125,
13123697.368763081729,-48.02333831787109375,
13173692.368263131008,-47.91315460205078125,
13223687.367763180286,-48.7332916259765625,
13273682.367263229564,-48.41461181640625,
13323677.366763278842,-49.07265472412109375,
13373672.36626332812,-48.9181060791015625,
13423667.365763377398,-49.09351348876953125,
13473662.365263426676,-49.47186279296875,
13523657.364763475955,-49.90654754638671875,
13573652.364263525233,-49.75614166259765625,
13623647.363763574511,-53.07566070556640625,
13673642.363263623789,-51.3614501953125,
13723637.362763673067,-50.46202850341796875,
13773632.362263722345,-51.8781280517578125,
13823627.361763771623,-51.49971771240234375,
13873622.361263820902,-53.22190093994140625,
13923617.36076387018,-50.0074615478515625,
13973612.360263919458,-50.8220062255859375,
14023607.359763968736,-51.8756866455078125,
14073602.359264018014,-53.22229766845703125,
14123597.358764067292,-53.7549591064453125,
14173592.35826411657,-54.16197967529296875,
14223587.357764165848,-52.80780792236328125,
14273582.357264215127,-54.44464111328125,
14323577.356764264405,-56.27935028076171875,
14373572.356264313683,-55.741485595703125,
14423567.355764362961,-58.0882415771484375,
14473562.355264412239,-55.03597259521484375,
14523557.354764461517,-56.1596527099609375,
14573552.354264510795,-59.27042388916015625,
14623547.353764560074,-57.9887542724609375,
14673542.353264609352,-60.13720703125,
14723537.35276465863,-57.31407928466796875,
14773532.352264707908,-59.0638580322265625,
14823527.351764757186,-59.7418060302734375,
14873522.351264806464,-59.929046630859375,
14923517.350764855742,-61.07586669921875,
14973512.350264905021,-60.7277679443359375,
15023507.349764954299,-59.64397430419921875,
15073502.349265003577,-62.0646209716796875,
15123497.348765052855,-62.85552215576171875,
15173492.348265102133,-60.539947509765625,
15223487.347765151411,-63.83867645263671875,
15273482.347265200689,-64.2060089111328125,
15323477.346765249968,-63.789520263671875,
15373472.346265299246,-64.89777374267578125,
15423467.345765348524,-66.46006011962890625,
15473462.345265397802,-63.260345458984375,
15523457.34476544708,-66.71454620361328125,
15573452.344265496358,-66.4716644287109375,
15623447.343765545636,-63.5161590576171875,
15673442.343265594915,-65.96582794189453125,
15723437.342765644193,-65.79596710205078125,
15773432.342265693471,-64.26308441162109375,
15823427.341765742749,-66.2464752197265625,
15873422.341265792027,-63.03391265869140625,
15923417.340765841305,-62.28180694580078125,
15973412.340265890583,-62.5725860595703125,
16023407.339765939862,-62.1043548583984375,
16073402.33926598914,-60.5178680419921875,
16123397.338766038418,-59.7052001953125,
16173392.338266087696,-58.72386932373046875,
16223387.337766136974,-60.079986572265625,
16273382.337266186252,-59.86383056640625,
16323377.33676623553,-61.30126953125,
16373372.336266284809,-60.69210052490234375,
16423367.335766334087,-58.6319122314453125,
16473362.335266383365,-60.93146514892578125,
16523357.334766432643,-62.831756591796875,
16573352.334266481921,-63.12209320068359375,
16623347.333766531199,-63.4074554443359375,
16673342.333266580477,-62.4736175537109375,
16723337.332766629755,-61.88854217529296875,
16773332.332266679034,-64.4290924072265625,
16823327.331766728312,-64.78057861328125,
16873322.331266779453,-64.811859130859375,
16923317.330766830593,-65.1101837158203125,
16973312.330266881734,-67.28862762451171875,
17023307.329766932875,-65.15167236328125,
17073302.329266984016,-67.080291748046875,
17123297.328767035156,-67.55065155029296875,
17173292.328267086297,-68.3720855712890625,
17223287.327767137438,-68.47673797607421875,
17273282.327267188579,-68.620635986328125,
17323277.32676723972,-66.52640533447265625,
17373272.32626729086,-70.01006317138671875,
17423267.325767342001,-69.6815032958984375,
17473262.325267393142,-71.0665435791015625,
17523257.324767444283,-68.7884979248046875,
17573252.324267495424,-69.3510894775390625,
17623247.323767546564,-70.4960479736328125,
17673242.323267597705,-71.21666717529296875,
17723237.322767648846,-70.84500885009765625,
17773232.322267699987,-71.64191436767578125,
17823227.321767751127,-69.8137359619140625,
17873222.321267802268,-70.752197265625,
17923217.320767853409,-73.4452972412109375,
17973212.32026790455,-71.9322357177734375,
18023207.319767955691,-71.2907562255859375,
18073202.319268006831,-71.63625335693359375,
18123197.318768057972,-70.89252471923828125,
18173192.318268109113,-71.76630401611328125,
18223187.317768160254,-70.6506805419921875,
18273182.317268211395,-70.3693389892578125,
18323177.316768262535,-71.31560516357421875,
18373172.316268313676,-72.525115966796875,
18423167.315768364817,-71.2037506103515625,
18473162.315268415958,-72.4756927490234375,
18523157.314768467098,-72.43597412109375,
18573152.314268518239,-69.2331695556640625,
18623147.31376856938,-71.25045013427734375,
18673142.313268620521,-70.55226898193359375,
18723137.312768671662,-69.32982635498046875,
18773132.312268722802,-69.4708099365234375,
18823127.311768773943,-69.48639678955078125,
18873122.311268825084,-68.769775390625,
18923117.310768876225,-68.68372344970703125,
18973112.310268927366,-70.33453369140625,
19023107.309768978506,-71.00463104248046875,
19073102.309269029647,-67.4172821044921875,
19123097.308769080788,-68.16180419921875,
19173092.308269131929,-69.3751220703125,
19223087.307769183069,-69.15477752685546875,
19273082.30726923421,-68.49578857421875,
19323077.306769285351,-69.44738006591796875,
19373072.306269336492,-67.078704833984375,
19423067.305769387633,-69.65921783447265625,
19473062.305269438773,-69.42612457275390625,
19523057.304769489914,-67.38999176025390625,
19573052.304269541055,-69.406768798828125,
19623047.303769592196,-68.887725830078125,
19673042.303269643337,-66.67376708984375,
19723037.302769694477,-69.68848419189453125,
19773032.302269745618,-69.19415283203125,
19823027.301769796759,-68.6987152099609375,
19873022.3012698479,-69.153106689453125,
19923017.30076989904,-68.27693939208984375,
19973012.300269950181,-68.95754241943359375,
20023007.299770001322,-58.38295745849609375,
20073002.299270052463,-66.8563385009765625,
20122997.298770103604,-68.128936767578125,
20172992.298270154744,-66.39327239990234375,
20222987.297770205885,-67.667144775390625,
20272982.297270257026,-67.04113006591796875,
20322977.296770308167,-65.06983184814453125,
20372972.296270359308,-66.56513214111328125,
20422967.295770410448,-67.56299591064453125,
20472962.295270461589,-63.7008056640625,
20522957.29477051273,-64.59880828857421875,
20572952.294270563871,-65.544677734375,
20622947.293770615011,-64.8206634521484375,
20672942.293270666152,-64.892974853515625,
20722937.292770717293,-66.63385772705078125,
20772932.292270768434,-65.78856658935546875,
20822927.291770819575,-63.3029327392578125,
20872922.291270870715,-66.27079010009765625,
20922917.290770921856,-66.06439208984375,
20972912.290270972997,-66.40683746337890625,
21022907.289771024138,-65.74176025390625,
21072902.289271075279,-65.33193206787109375,
21122897.288771126419,-65.65404510498046875,
21172892.28827117756,-66.25435638427734375,
21222887.287771228701,-65.59444427490234375,
21272882.287271279842,-63.7528533935546875,
21322877.286771330982,-64.66153717041015625,
21372872.286271382123,-64.9721832275390625,
21422867.285771433264,-62.90547943115234375,
21472862.285271484405,-64.29392242431640625,
21522857.284771535546,-63.88071441650390625,
21572852.284271586686,-64.37353515625,
21622847.283771637827,-64.41938018798828125,
21672842.283271688968,-63.34218597412109375,
21722837.282771740109,-61.96184539794921875,
21772832.28227179125,-63.55377960205078125,
21822827.28177184239,-63.78244781494140625,
21872822.281271893531,-61.13365936279296875,
21922817.280771944672,-62.0263214111328125,
21972812.280271995813,-61.38146209716796875,
22022807.279772046953,-60.10430145263671875,
22072802.279272098094,-61.7336883544921875,
22122797.278772149235,-60.8560333251953125,
22172792.278272200376,-60.29592132568359375,
22222787.277772251517,-61.32738494873046875,
22272782.277272302657,-60.11505889892578125,
22322777.276772353798,-60.61438751220703125,
22372772.276272404939,-60.95746612548828125,
22422767.27577245608,-59.68022918701171875,
22472762.275272507221,-60.51297760009765625,
22522757.274772558361,-59.45392608642578125,
22572752.274272609502,-59.0001678466796875,
22622747.273772660643,-60.22420501708984375,
22672742.273272711784,-57.04842376708984375,
22722737.272772762924,-59.46405029296875,
22772732.272272814065,-59.5491485595703125,
22822727.271772865206,-58.2822113037109375,
22872722.271272916347,-60.1487884521484375,
22922717.270772967488,-58.89676666259765625,
22972712.270273018628,-57.06992340087890625,
23022707.269773069769,-60.14150238037109375,
23072702.26927312091,-59.72418212890625,
23122697.268773172051,-58.44750213623046875,
23172692.268273223191,-59.10324859619140625,
23222687.267773274332,-60.18195343017578125,
23272682.267273325473,-59.70552825927734375,
23322677.266773376614,-61.724945068359375,
23372672.266273427755,-61.1330108642578125,
23422667.265773478895,-62.58707427978515625,
23472662.265273530036,-63.8546142578125,
23522657.264773581177,-64.28165435791015625,
23572652.264273632318,-62.8549041748046875,
23622647.263773683459,-65.23789215087890625,
23672642.263273734599,-64.4249267578125,
23722637.26277378574,-66.23150634765625,
23772632.262273836881,-63.743438720703125,
23822627.261773888022,-66.06188201904296875,
23872622.261273939162,-66.75870513916015625,
23922617.260773990303,-65.130950927734375,
23972612.260274041444,-65.7276153564453125,
24022607.259774092585,-62.960784912109375,
24072602.259274143726,-64.198577880859375,
24122597.258774194866,-67.0265045166015625,
24172592.258274246007,-66.70063018798828125,
24222587.257774297148,-65.02783966064453125,
24272582.257274348289,-67.69429779052734375,
24322577.25677439943,-67.614471435546875,
24372572.25627445057,-65.98087310791015625,
24422567.255774501711,-67.85405731201171875,
24472562.255274552852,-67.77581787109375,
24522557.254774603993,-66.6914825439453125,
24572552.254274655133,-66.8901824951171875,
24622547.253774706274,-66.43538665771484375,
24672542.253274757415,-67.3773345947265625,
24722537.252774808556,-66.93505859375,
24772532.252274859697,-67.7708892822265625,
24822527.251774910837,-66.91278076171875,
24872522.251274961978,-68.39592742919921875,
24922517.250775013119,-68.157958984375,
24972512.25027506426,-67.73223114013671875,
25022507.249775115401,-64.1634063720703125,
25072502.249275166541,-66.68535614013671875,
25122497.248775217682,-67.1582183837890625,
25172492.248275268823,-65.01183319091796875,
25222487.247775319964,-65.90688323974609375,
25272482.247275371104,-66.88008880615234375,
25322477.246775422245,-65.03460693359375,
25372472.246275473386,-64.59942626953125,
25422467.245775524527,-64.39313507080078125,
25472462.245275575668,-63.83519744873046875,
25522457.244775626808,-65.21669769287109375,
25572452.244275677949,-66.44412994384765625,
25622447.24377572909,-65.94060516357421875,
25672442.243275780231,-66.3993377685546875,
25722437.242775831372,-66.96734619140625,
25772432.242275882512,-65.1400604248046875,
25822427.241775933653,-66.60199737548828125,
25872422.241275984794,-64.7653961181640625,
25922417.240776035935,-64.622955322265625,
25972412.240276087075,-63.59146881103515625,
26022407.239776138216,-63.96949005126953125,
26072402.239276189357,-63.65801239013671875,
26122397.238776240498,-62.43074798583984375,
26172392.238276291639,-62.69969940185546875,
26222387.237776342779,-60.73388671875,
26272382.23727639392,-60.2453765869140625,
26322377.236776445061,-60.344573974609375,
26372372.236276496202,-59.2310791015625,
26422367.235776547343,-58.57134246826171875,
26472362.235276598483,-60.81194305419921875,
26522357.234776649624,-60.686492919921875,
26572352.234276700765,-60.40323638916015625,
26622347.233776751906,-61.19000244140625,
26672342.233276803046,-59.1593017578125,
26722337.232776854187,-61.42528533935546875,
26772332.232276905328,-60.2215423583984375,
26822327.231776956469,-61.07331085205078125,
26872322.23127700761,-61.57773590087890625,
26922317.23077705875,-59.2903594970703125,
26972312.230277109891,-59.8339080810546875,
27022307.229777161032,-59.181671142578125,
27072302.229277212173,-61.3725433349609375,
27122297.228777263314,-62.10347747802734375,
27172292.228277314454,-61.81865692138671875,
27222287.227777365595,-61.19986724853515625,
27272282.227277416736,-62.38213348388671875,
27322277.226777467877,-62.0503082275390625,
27372272.226277519017,-61.42174530029296875,
27422267.225777570158,-61.8932342529296875,
27472262.225277621299,-62.508941650390625,
27522257.22477767244,-61.9866485595703125,
27572252.224277723581,-61.70648193359375,
27622247.223777774721,-61.81267547607421875,
27672242.223277825862,-61.75620269775390625,
27722237.222777877003,-61.8796539306640625,
27772232.222277928144,-61.7529296875,
27822227.221777979285,-63.94643402099609375,
27872222.221278030425,-61.90407562255859375,
27922217.220778081566,-62.7530670166015625,
27972212.220278132707,-61.9151763916015625,
28022207.219778183848,-61.47127532958984375,
28072202.219278234988,-62.54076385498046875,
28122197.218778286129,-60.1055908203125,
28172192.21827833727,-60.78261566162109375,
28222187.217778388411,-62.640838623046875,
28272182.217278439552,-60.1808624267578125,
28322177.216778490692,-62.76888275146484375,
28372172.216278541833,-60.27486419677734375,
28422167.215778592974,-61.62798309326171875,
28472162.215278644115,-61.71332550048828125,
28522157.214778695256,-59.66074371337890625,
28572152.214278746396,-61.45658111572265625,
28622147.213778797537,-60.98271942138671875,
28672142.213278848678,-59.41680908203125,
28722137.212778899819,-59.5149078369140625,
28772132.212278950959,-59.43479156494140625,
28822127.2117790021,-59.70087432861328125,
28872122.211279053241,-60.04282379150390625,
28922117.210779104382,-58.44011688232421875,
28972112.210279155523,-58.062744140625,
29022107.209779206663,-58.51141357421875,
29072102.209279257804,-57.0733184814453125,
29122097.208779308945,-57.41129302978515625,
29172092.208279360086,-59.10028839111328125,
29222087.207779411227,-57.302825927734375,
29272082.207279462367,-58.92966461181640625,
29322077.206779513508,-57.30884552001953125,
29372072.206279564649,-56.46747589111328125,
29422067.20577961579,-61.3711395263671875,
29472062.20527966693,-58.6753997802734375,
29522057.204779718071,-58.99322509765625,
29572052.204279769212,-59.8618011474609375,
29622047.203779820353,-59.235870361328125,
29672042.203279871494,-59.08329010009765625,
29722037.202779922634,-60.05500030517578125,
29772032.202279973775,-59.0353240966796875,
29822027.201780024916,-58.15807342529296875,
29872022.201280076057,-61.176239013671875,
29922017.200780127198,-59.4699554443359375,
29972012.200280178338,-58.10587310791015625,
30022007.199780229479,-54.40662384033203125,
30072002.19928028062,-57.125152587890625,
30121997.198780331761,-58.83654022216796875,
30171992.198280382901,-59.34151458740234375,
30221987.197780434042,-59.59340667724609375,
30271982.197280485183,-60.5764617919921875,
30321977.196780536324,-56.26941680908203125,
30371972.196280587465,-61.59972381591796875,
30421967.195780638605,-59.8980255126953125,
30471962.195280689746,-57.248199462890625,
30521957.194780740887,-60.36200714111328125,
30571952.194280792028,-58.17101287841796875,
30621947.193780843168,-57.5534515380859375,
30671942.193280894309,-59.61783599853515625,
30721937.19278094545,-56.81574249267578125,
30771932.192280996591,-57.23513031005859375,
30821927.191781047732,-57.5843353271484375,
30871922.191281098872,-57.526123046875,
30921917.190781150013,-56.848175048828125,
30971912.190281201154,-56.9861907958984375,
31021907.189781252295,-55.1206207275390625,
31071902.189281303436,-55.790313720703125,
31121897.188781354576,-55.63024139404296875,
31171892.188281405717,-56.0992584228515625,
31221887.187781456858,-55.78165435791015625,
31271882.187281507999,-53.81186676025390625,
31321877.186781559139,-56.0572662353515625,
31371872.18628161028,-56.4470367431640625,
31421867.185781661421,-55.34670257568359375,
31471862.185281712562,-55.6538238525390625,
31521857.184781763703,-57.13591766357421875,
31571852.184281814843,-55.43715667724609375,
31621847.183781865984,-56.8257904052734375,
31671842.183281917125,-55.55809783935546875,
31721837.182781968266,-54.30034637451171875,
31771832.182282019407,-56.062652587890625,
31821827.181782070547,-56.44104766845703125,
31871822.181282121688,-55.05713653564453125,
31921817.180782172829,-55.652923583984375,
31971812.18028222397,-54.8170623779296875,
32021807.17978227511,-55.327056884765625,
32071802.179282326251,-55.133392333984375,
32121797.178782377392,-56.06915283203125,
32171792.178282428533,-54.24160003662109375,
32221787.177782479674,-56.08397674560546875,
32271782.177282530814,-56.5724639892578125,
32321777.176782581955,-55.43393707275390625,
32371772.176282633096,-56.9080352783203125,
32421767.175782684237,-56.97153472900390625,
32471762.175282735378,-57.3707733154296875,
32521757.174782786518,-56.7772979736328125,
32571752.174282837659,-56.95456695556640625,
32621747.1737828888,-57.68521881103515625,
32671742.173282939941,-56.3968505859375,
32721737.172782991081,-58.5017852783203125,
32771732.172283042222,-58.10781097412109375,
32821727.171783093363,-57.42950439453125,
32871722.171283144504,-59.30582427978515625,
32921717.170783195645,-56.84105682373046875,
32971712.170283246785,-57.13219451904296875,
33021707.169783297926,-59.18083953857421875,
33071702.169283349067,-58.7095794677734375,
33121697.168783400208,-58.38278961181640625,
33171692.168283451349,-59.77735137939453125,
33221687.167783502489,-59.1330108642578125,
33271682.16728355363,-56.90740966796875,
33321677.166783604771,-60.32357025146484375,
33371672.166283655912,-59.79265594482421875,
33421667.165783707052,-58.3248748779296875,
33471662.165283758193,-60.6338653564453125,
33521657.164783809334,-58.3435211181640625,
33571652.16428385675,-58.1108551025390625,
33621647.16378390789,-60.737518310546875,
33671642.163283959031,-60.09096527099609375,
33721637.162784010172,-60.6207122802734375,
33771632.162284061313,-60.2904510498046875,
33821627.161784112453,-59.6455535888671875,
33871622.161284163594,-60.16040802001953125,
33921617.160784214735,-60.71956634521484375,
33971612.160284265876,-61.57816314697265625,
34021607.159784317017,-61.15766143798828125,
34071602.159284368157,-60.58530426025390625,
34121597.158784419298,-60.22418975830078125,
34171592.158284470439,-61.87203216552734375,
34221587.15778452158,-59.9508056640625,
34271582.157284572721,-62.19306182861328125,
34321577.156784623861,-61.7774810791015625,
34371572.156284675002,-60.1125640869140625,
34421567.155784726143,-62.0141448974609375,
34471562.155284777284,-61.25421905517578125,
34521557.154784828424,-59.37940216064453125,
34571552.154284879565,-62.218536376953125,
34621547.153784930706,-62.06683349609375,
34671542.153284981847,-58.82656097412109375,
34721537.152785032988,-61.659515380859375,
34771532.152285084128,-60.69306182861328125,
34821527.151785135269,-59.47167205810546875,
34871522.15128518641,-61.402130126953125,
34921517.150785237551,-61.4223175048828125,
